fdc_id,calories,carbs,fat,fiber,protein,food_name,goal
334898,122.0,0.0,2.48,,23.4,"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",maintenance
334963,123.0,0.0,2.41,,23.7,"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",maintenance
335061,219.0,0.0,11.4,,27.3,"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",maintenance
335109,145.0,0.0,5.32,,22.7,"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw",maintenance
335240,254.0,43.1,3.55,6.0,12.3,"Bread, whole-wheat, commercially prepared",weight_gain
746758,176.0,0.0,6.36,,27.7,"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",maintenance
746759,155.0,0.0,6.39,,22.8,"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",maintenance
746760,122.0,0.0,2.48,,23.4,"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",maintenance
746761,123.0,0.0,2.41,,23.7,"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",maintenance
746762,145.0,0.0,5.32,,22.7,"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw",maintenance
746763,219.0,0.0,11.4,,27.3,"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",maintenance
746764,37.0,7.92,0.47,3.2,0.81,"Carrots, frozen, unprepared",weight_loss
746765,326.0,2.07,24.3,,24.5,"Cheese, dry white, queso seco",weight_gain
746766,157.0,6.86,11.0,,7.81,"Cheese, ricotta, whole milk",maintenance
746767,393.0,1.44,31.0,,27.0,"Cheese, swiss",weight_gain
746768,249.0,63.9,0.92,9.8,3.3,"Figs, dried, uncooked",maintenance
746769,17.0,3.24,0.26,1.8,1.24,"Lettuce, cos or romaine, raw",maintenance
746770,34.0,8.16,0.18,0.8,0.82,"Melons, cantaloupe, raw",maintenance
746771,47.0,11.8,0.15,2.0,0.91,"Oranges, raw, navels",maintenance
746772,43.0,5.18,0.95,,3.38,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",maintenance
746773,57.0,15.1,0.16,3.1,0.38,"Pears, raw, bartlett",weight_loss
746774,260.0,25.5,13.6,1.0,8.88,"Restaurant, Chinese, sweet and sour pork",weight_gain
746776,34.0,4.92,0.08,,3.43,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",maintenance
746777,29.0,6.74,0.19,1.8,1.44,"Sauce, salsa, ready-to-serve",maintenance
746778,50.0,4.9,1.9,,3.36,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",maintenance
746779,328.0,3.37,28.7,,13.3,"Sausage, breakfast sausage, beef, pre-cooked, unprepared",weight_gain
746780,322.0,2.15,26.2,,18.2,"Sausage, Italian, pork, mild, cooked, pan-fried",weight_gain
746781,346.0,2.63,28.1,,19.3,"Sausage, pork, chorizo, link or ground, cooked, pan-fried",weight_gain
746782,60.0,4.63,3.2,,3.27,"Milk, whole, 3.25% milkfat, with added vitamin D",maintenance
746783,169.0,0.93,10.4,,16.7,"Sausage, turkey, breakfast links, mild, raw",maintenance
746784,385.0,99.6,0.32,,0.0,"Sugars, granulated",weight_gain
746785,220.0,0.0,11.6,,27.1,"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",maintenance
746952,121.0,2.36,3.68,,19.6,"Ham, sliced, restaurant",maintenance
747429,375.0,6.35,31.1,,17.5,"Cheese, American, restaurant",weight_gain
747447,31.0,6.27,0.34,2.4,2.57,"Broccoli, raw",maintenance
747448,31.0,7.63,0.22,1.8,0.64,"Strawberries, raw",maintenance
747693,117.0,26.8,0.55,,1.11,"Ketchup, restaurant",maintenance
747997,55.0,2.36,0.0,,10.7,"Eggs, Grade A, Large, egg white",maintenance
748236,334.0,1.02,28.8,,16.2,"Eggs, Grade A, Large, egg yolk",weight_gain
748967,148.0,0.96,9.96,0.0,12.4,"Eggs, Grade A, Large, egg whole",maintenance
749420,500.0,2.1,36.5,,40.9,"Pork, cured, bacon, cooked, restaurant",weight_gain
789890,366.0,77.3,1.48,,10.9,"Flour, wheat, all-purpose, enriched, bleached",weight_gain
789951,358.0,73.2,1.48,,13.1,"Flour, wheat, all-purpose, enriched, unbleached",weight_gain
790018,362.0,74.6,1.7,3.0,12.0,"Flour, wheat, all-purpose, unenriched, unbleached",weight_gain
790085,370.0,71.2,2.73,10.6,15.1,"Flour, whole wheat, unenriched",weight_gain
790146,363.0,72.8,1.65,,14.3,"Flour, bread, white, enriched, unbleached",weight_gain
790214,359.0,79.8,1.3,0.5,6.94,"Flour, rice, white, unenriched",weight_gain
790276,364.0,80.8,1.74,4.3,6.2,"Flour, corn, yellow, fine meal, enriched",weight_gain
790577,44.0,9.93,0.1,2.2,0.94,"Onions, red, raw",maintenance
790646,38.0,8.61,0.05,1.9,0.83,"Onions, yellow, raw",maintenance
790774,85.0,20.1,0.22,1.7,0.73,"Bananas, overripe, raw",maintenance
790991,97.0,23.0,0.29,1.7,0.74,"Bananas, ripe and slightly ripe, raw",maintenance
1104647,143.0,28.2,0.38,2.7,6.62,"Garlic, raw",maintenance
1104705,366.0,32.9,3.33,,51.1,"Flour, soy, defatted",weight_gain
1104766,452.0,27.9,20.7,,38.6,"Flour, soy, full-fat",weight_gain
1104812,365.25,75.5,3.85,,7.19,"Flour, rice, brown",weight_gain
1104867,358.0,80.1,1.16,,6.69,"Flour, rice, glutinous",weight_gain
1104913,358.0,77.2,1.64,,8.75,"Flour, pastry, unenriched, unbleached",weight_gain
1104962,35.0,7.68,0.13,1.2,0.89,"Onions, white, raw",maintenance
1105073,85.0,20.1,0.22,1.7,0.73,"Bananas, overripe, raw",maintenance
1105314,97.0,23.0,0.29,1.7,0.74,"Bananas, ripe and slightly ripe, raw",maintenance
1105430,62.0,14.8,0.21,2.0,0.19,"Apples, red delicious, with skin, raw",maintenance
1105547,60.0,14.7,0.1,1.7,0.1,"Apples, honeycrisp, with skin, raw",maintenance
1105664,59.0,14.2,0.14,2.5,0.27,"Apples, granny smith, with skin, raw",maintenance
1105781,61.0,14.8,0.15,2.1,0.13,"Apples, gala, with skin, raw",maintenance
1105897,65.0,15.7,0.16,2.1,0.15,"Apples, fuji, with skin, raw",maintenance
